pair,listener,crit_half,condition,prop_target_fix,prop_compet_fix,num_trials,numtNA,numcNA
36,72,firsthalf,Two Contrasts Shared,0.7857142857142857,0.35714285714285715,14,0,0
36,72,firsthalf,Two Contrasts Privileged,1,0.14285714285714285,7,0,0
36,72,firsthalf,One Contrast,0.8333333333333334,0.3333333333333333,6,0,0
36,72,secondhalf,Two Contrasts Shared,0.8,0.5333333333333333,15,0,0
36,72,secondhalf,Two Contrasts Privileged,0.8888888888888888,0.1111111111111111,9,0,0
36,72,secondhalf,One Contrast,1,0.25,8,0,0
36,73,firsthalf,Two Contrasts Shared,0.7142857142857143,0.5,14,0,0
36,73,firsthalf,Two Contrasts Privileged,0.2,0.6,5,0,0
36,73,firsthalf,One Contrast,0.8571428571428571,0.5714285714285714,7,0,0
36,73,secondhalf,Two Contrasts Shared,0.8,0.4666666666666667,15,0,0
36,73,secondhalf,Two Contrasts Privileged,1,0.5714285714285714,7,0,0
36,73,secondhalf,One Contrast,1,0,8,0,0
38,76,firsthalf,Two Contrasts Shared,0.5555555555555556,0.4444444444444444,9,0,0
38,76,firsthalf,Two Contrasts Privileged,1,0,2,0,0
38,76,firsthalf,One Contrast,1,0.5,4,0,0
