pair,speaker,crit_half,crit_order_bin,condition,prop_size_adj_use,num_trials,num_NA
23,46,secondhalf,4,One Contrast Privileged,0,5,0
23,46,secondhalf,4,Two Contrasts Shared,1,9,0
24,47,firsthalf,1,No Contrast,0,3,0
24,47,firsthalf,1,One Contrast Privileged,1,3,0
24,47,firsthalf,1,Two Contrasts Shared,1,7,0
24,47,firsthalf,2,No Contrast,0,4,0
24,47,firsthalf,2,One Contrast Privileged,1,4,0
24,47,firsthalf,2,Two Contrasts Shared,1,8,0
24,47,secondhalf,3,No Contrast,0,4,0
24,47,secondhalf,3,One Contrast Privileged,1,4,0
24,47,secondhalf,3,Two Contrasts Shared,1,8,0
24,47,secondhalf,4,No Contrast,0,5,0
24,47,secondhalf,4,One Contrast Privileged,1,5,0
24,47,secondhalf,4,Two Contrasts Shared,0.8888888888888888,9,0
24,48,firsthalf,1,No Contrast,0,3,0
24,48,firsthalf,1,One Contrast Privileged,1,3,0
24,48,firsthalf,1,Two Contrasts Shared,1,7,0
24,48,firsthalf,2,No Contrast,0,4,0
24,48,firsthalf,2,One Contrast Privileged,1,4,0
24,48,firsthalf,2,Two Contrasts Shared,1,8,0
24,48,secondhalf,3,No Contrast,0,4,0
24,48,secondhalf,3,One Contrast Privileged,1,4,0
24,48,secondhalf,3,Two Contrasts Shared,0.875,8,0
24,48,secondhalf,4,No Contrast,0,5,0
24,48,secondhalf,4,One Contrast Privileged,1,5,0
24,48,secondhalf,4,Two Contrasts Shared,1,9,0
25,49,firsthalf,1,No Contrast,0.3333333333333333,3,0
25,49,firsthalf,1,One Contrast Privileged,1,3,0
25,49,firsthalf,1,Two Contrasts Shared,1,7,0
25,49,firsthalf,2,No Contrast,0,4,0
25,49,firsthalf,2,One Contrast Privileged,1,4,0
25,49,firsthalf,2,Two Contrasts Shared,1,8,0
25,49,secondhalf,3,No Contrast,0,4,0
25,49,secondhalf,3,One Contrast Privileged,0.75,4,0
25,49,secondhalf,3,Two Contrasts Shared,1,8,0
25,49,secondhalf,4,No Contrast,0,5,0
25,49,secondhalf,4,One Contrast Privileged,0.2,5,0
25,49,secondhalf,4,Two Contrasts Shared,1,9,0
25,50,firsthalf,1,No Contrast,0,3,0
